"#SKU","Status","Name (EN)","Tax Code","Price","MSRP","Summary (EN)","Description (EN)","Tags","Categories","Country Catalog","Best Seller","New","Inventory","Weight","Shippable","Base product","Variant Group 1","Variant Group 2","Listing image","Image","All Images","Display Order"
"SOWA125","Active","SOOTHE Gentle Cream Wash","P0000000",30,30,"Dissolves and sweeps away makeup and other skin impurities without the use of harsh surfactants.","<p>  Dissolves and sweeps away makeup and other skin impurities without the use of harsh surfactants. With essential barrier-nurturing ceramides, this wash is the first step to supporting your skin&rsquo;s recovery and resiliency. 125 mL/4.2 Fl.Oz.</p>","antique","ANT102,MRK101","US",,,1,,1,,,,"images/no_image_available.png","images/no_image_available.png",,
"SOTT050","Active","SOOTHE Sensitive Skin Treatment","P0000000",60,60,"Helps to interrupt the inflammatory cascade to promote smooth, clear, healthy-looking skin.","Hydrating cream with exclusive RFp3 peptide technology helps to interrupt the inflammatory cascade to promote smooth, clear, healthy-looking skin. FDA-recognized skin protectants, dimethicone and allantoin, along with antioxidants and natural lipids, restore the skin’s barrier to relieve dryness, reduce sensitivity, and calm irritation. Optical filters immediately neutralize the look of redness. 50 mL/1.7 Fl.Oz.","antique","ANT102","US",,,1,,1,,,,"images/no_image_available.png","images/no_image_available.png",,
"SOSS050","Active","SOOTHE Mineral Sunscreen Broad Spectrum SPF 30","P0000000",30,30,"Broad spectrum SPF 30 contains only mineral-based sunscreen ingredients that can keep the skin’s surface cooler and minimize the appearance of facial redness.","<p>  Formulated without chemical sunscreens, fragrance, dyes or alcohol that can irritate sensitive skin, this lightweight formula protects without compromising skin&rsquo;s delicate moisture barrier as it calms and soothes. Broad spectrum UVA/UVB formula contains only mineral-based sunscreen ingredients that deflect the sun&rsquo;s rays, keeping the skin&rsquo;s surface cooler to minimize the appearance of facial redness. Suitable for all skin types and conditions, including rosacea-prone skin. 50 mL/1.7 Fl.Oz.</p> <p>  <img alt=""The Skin Cancer Foundation Seal of Recommendation for Sunscreens: Daily Use"" src=""https://www.rodanandfields.com/images/Products/SCF_Seal-Daily-small.jpg"" style=""width: 37px; height: 55px;"" /></p>","antique","MRK101","US",,,1,,1,,,,"images/no_image_available.png","images/no_image_available.png",,
"ESGA001","Active","ESSENTIALS Gauze Pads","P0000000",6,6,"Ideal for applying product or removing make-up.","<p>  The ESSENTIALS Gauze Pads are ideal for applying product and removing make-up as they optimize product usage without leaving any cotton-ball residue. 120 pads.</p>","antique","HND102","US",,,1,,1,,,,"images/no_image_available.png","images/no_image_available.png",,
"RFBP001","Active","Rodan + Fields Spot Light with Power Adaptor","P0000000",11,11,"The Spot Light lets you finally see what is causing your skin to lose its youthful radiance - underlying sun damage.","<p>  The Rodan + Fields Spot Light lets you finally see what is causing your skin to lose its youthful radiance - underlying sun damage. Spot Light comes with a power adapter so you can power your Spot Light and See the Light anytime, anywhere you have an outlet. Forget the hassle of batteries and purchase your Rodan + Fields Spotlight and Power adapter to power your Big Business Launch and Customer recruiting efforts.<br />  <br />  Item not eligible to add to your CRP replenishment order, available while supplies last.</p>","antique,jewerly,strange","ANT102,MRK102","US",,,1,,1,,,,"images/no_image_available.png","images/no_image_available.png",,
"BZPT001","Active","Business Portfolio","P0000000",45,45,"Includes all the training and support materials you need to get started. This is the only purchase required to become a Consultant and is optional for residents of North Dakota. Business Portfolio included in all of the Business Kits.","Includes all the training and support materials you need to get started. This is the only purchase required to become a Consultant and is optional for residents of North Dakota. Business Portfolio included in all of the Business Kits.","antique","MRK101","US",,1,1,,1,,,,"images/no_image_available.png","images/no_image_available.png","images/products/DSC00751.JPG",
"ENLM015","Active","ENHANCEMENTS Lip Micro-Dermabrasion","P0000000",13,13,"For fresh, defined, youthful-looking lips. Just a few swipes clears away telltale signs of environmental stress, leaving delicate lip surface soft, conditioned, and renewed.","<p>  ENHANCEMENTS Lip Micro-Dermabrasion is an effective and convenient exfoliation stick created specifically for one of the areas of your face most prone to showing early signs of aging: your lips. It removes dead skin cells and exfoliates flaky lip tissues in just a few swipes. This easy to use, conditioning treatment makes lips look and feel more defined and youthful by renewing the surface and reducing lipstick bleeding. 2.0 g/.07 oz</p>","antique",,"US",,,1,,1,,,"red","images/no_image_available.png","images/no_image_available.png",,
"ENBM190","Active","ENHANCEMENTS Body Micro-Dermabrasion","P0000000",22,22,"For use in the shower or tub, this powerful micro-dermabrasion cleanses and conditions skin in one invigorating step for all-over skin renewal.","<p>  ENHANCEMENTS Body Micro-Dermabrasion feels like an indulgence, but works as a therapeutic, multi-benefit skin treatment. For use in the shower or tub, this powerful micro-dermabrasion exfoliates, cleanses, and conditions skin in one invigorating step for all-over renewal and a smooth even look and feel. Harper&rsquo;s Bazaar proclaims it will banish dry and flaky skin. 54 g/1.9 oz</p>","antique,strange","ANT102","US",,,1,,1,,,"blue","images/no_image_available.png","images/no_image_available.png",,
"ENPS050","Active","ENHANCEMENTS Micro-Dermabrasion Paste Packets","P0000000",30,30,"The highly effective ENHANCEMENTS Micro-Dermabrasion Paste, now available in convenient, single-use.","<p>  Experience the immediate skin-smoothing benefits of ENHANCEMENTS Micro-Dermabrasion Paste in convenient, single-use packets. Each packet contains the optimal dose of our highly effective, oil-free formula designed to promote exfoliation and cell turnover, enhancing skin radiance. It features Vitamins C and E and polishes the skin with salt and sugar granules that melt away leaving the skin silky smooth. Single-use packets also offer a clean, professional, and effective way to introduce prospective Consultants and customers to Rodan + Fields. The box of 10 provides enough for 30 days use when used 2-3 times a week, as well as a solid foundation for your monthly Sales Volume. It is commissionable and currently available to Consultants only. Use intermittently as a compliment to other Rodan + Fields products. 10 packets per box, 5 mL/ 0.17 Fl. Oz. each</p>","antique","MRK101","US",,,1,,1,,,"green","images/no_image_available.png","images/no_image_available.png",,
"RNW001","Active","Consultantship Renewal","OD020000",25,25,"Consultantship Renewal","Consultantship Renewal","antique",,"US",,,1,,,,,"red","images/no_image_available.png","images/no_image_available.png",,
"AAEY030","Active","REDEFINE Eye Cloths","P0000000",23,23,"Gently removes makeup while depositing proven peptides to reduce the appearance of lines, wrinkles and puffiness.","<p>  Wake up to eyes that look youthful and refreshed. Our REDEFINE Eye Cloths serve a dual purpose, removing makeup without tugging and depositing cosmetic ingredients to combat the visible signs of aging. Featuring a unique blend of proven peptides, these cloths minimize the appearance of lines, wrinkles and under-eye puffiness while dissolving stubborn eye makeup, even mascara. REDEFINE Eye Cloths complement every Rodan + Fields skincare system and work with REDEFINE Multi-Function Eye Cream for maximum results. Box of 30 cloths.</p>","antique","ANT102","US",,,1,,1,,,"blue","images/no_image_available.png","images/no_image_available.png","images/products/images4.jpg",
"NCSW003","Active","Rodan + Fields Pens - 5 Pack","P0000000",5,5,"Advertise your business with Rodan + Fields branded pens.","<p>  Advertise your business with Rodan + Fields pens. Pens come in a 5 pack, available in a variety of colors.<br />  <br />  Item not eligible to add to your CRP replenishment order, available while supplies last.</p>","antique,jewerly",,"US",,,1,,1,"AAEY030","gold","green","images/no_image_available.png","images/no_image_available.png",,
"PFCB001","Active","Write Your Skin a Prescription for Change","P0000000",19.95,19.95,"The Doctors' National Bestselling book is your go-to guide for taking control of your skin's destiny","<p>  The Doctors are in. National Bestselling book <span style=""font-style:italic;"">Write Your Skin a Prescription for Change</span> offers unique insights from Dr. Katie Rodan and Dr. Kathy Fields&#39; more than twenty-five years in the dermatology trenches. Their perspective is compelling and will inspire the choices that can help you look and feel your best today, tomorrow, and well into the future. Whether you&#39;re 18 or 81, it&#39;s never too late to change your skin&#39;s destiny. <a href=""http://www.pairodocspublishing.com/pages/buzz.html"" target=""_Blank"">Read reviews.</a></p> <p>  Item not eligible to add to your CRP replenishment order, available while supplies last.</p>","antique","MRK101","US",,,0,,1,"AAEY030","silver",,"images/no_image_available.png","images/no_image_available.png",,
"ENKB001","Active","ENHANCEMENTS Mineral Peptides Brush","P0000000",25,25,"Specially designed for smooth, natural-looking application of ENHANCEMENTS Mineral Peptides SPF 20.","Our retractable, anti-bacterial ENHANCEMENTS Mineral Peptides Brush has been specially designed for smooth, natural-looking application of ENHANCEMENTS Mineral Peptides SPF 20.  Constructed of synthetic kabuki hairs and treated with a non-toxic, hypoallergenic solution, the brush repels and destroys bacteria. Designed for portability, the brush can be pre-loaded with powder for on-the-go sunscreen re-application.","antique","MRK101","US",,,1,,1,"AAEY030","metal",,"images/no_image_available.png","images/no_image_available.png",,
"ENPL004","Active","ENHANCEMENTS Mineral Peptides Broad Spectrum SPF 20","P0000000",19,19,"Support’s skin’s resiliency to environmental aggressors and irritants and provides sun protection, while light deflecting minerals immediately even skin tone and reduce redness.","<p>  Perfection is a process. When it comes to achieving healthy, clear, foundation-free skin, even the most rigorous clinical skincare routines take time to show results. That&rsquo;s why we created a new treat and protect product that offers both immediate and long-term skin-enhancing benefits that work with any Rodan + Fields Multi-Med&trade; Therapy regimen. Infused with patent-pending RFp3 technology, ENHANCEMENTS Mineral Peptides SPF 20 supports skin&rsquo;s resiliency to environmental aggressors and irritants and provides sun protection, while light deflecting minerals immediately even skin tone and reduce redness. Available in Light, Medium and Bronze shades, with a retractable anti-bacterial Kabuki brush sold separately. 4 g/.14 fl. oz.</p>","antique",,"US",,,1,,1,,,,"images/no_image_available.png","images/no_image_available.png",,
"ENPM004","Active","ENHANCEMENTS Mineral Peptides Broad Spectrum SPF 20","P0000000",19,19,"Support’s skin’s resiliency to environmental aggressors and irritants and provides sun protection, while light deflecting minerals immediately even skin tone and reduce redness.","<p>  Perfection is a process. When it comes to achieving healthy, clear, foundation-free skin, even the most rigorous clinical skincare routines take time to show results. That&rsquo;s why we created a new treat and protect product that offers both immediate and long-term skin-enhancing benefits that work with any Rodan + Fields Multi-Med&trade; Therapy regimen. Infused with patent-pending RFp3 technology, ENHANCEMENTS Mineral Peptides Broad Spectrum SPF 20 supports skin&rsquo;s resiliency to environmental aggressors and irritants and provides sun protection, while light deflecting minerals immediately even skin tone and reduce redness. Available in Light, Medium and Bronze shades, with a retractable anti-bacterial Kabuki brush sold separately. 4 g/.14 fl. oz.</p>","antique","ANT102,MRK101","US",,,1,,1,,,,"images/no_image_available.png","images/no_image_available.png",,
"ENPB004","Active","ENHANCEMENTS Mineral Peptides Broad Spectrum SPF 20","P0000000",19,19,"Support’s skin’s resiliency to environmental aggressors and irritants and provides sun protection, while light deflecting minerals immediately even skin tone and reduce redness.","<p>  Perfection is a process. When it comes to achieving healthy, clear, foundation-free skin, even the most rigorous clinical skincare routines take time to show results. That&rsquo;s why we created a new treat and protect product that offers both immediate and long-term skin-enhancing benefits that work with any Rodan + Fields Multi-Med&trade; Therapy regimen. Infused with patent-pending RFp3 technology, ENHANCEMENTS Mineral Peptides SPF 20 supports skin&rsquo;s resiliency to environmental aggressors and irritants and provides sun protection, while light deflecting minerals immediately even skin tone and reduce redness. Available in Light, Medium and Bronze shades, with a retractable anti-bacterial Kabuki brush sold separately. 4 g/.14 fl. oz.</p>","antique","HND102","US",,,1,,1,,,,"images/no_image_available.png","images/no_image_available.png","images/products/images2.jpg",
"ENLPK04","Active","ENHANCEMENTS Mineral Peptides Broad Spectrum SPF 20 with Brush","P0000000",40,40,"Support’s skin’s resiliency to environmental aggressors and irritants and provides sun protection, while light deflecting minerals immediately even skin tone and reduce redness.","<p>  The perfect pair. When it comes to achieving healthy, clear, foundation-free skin, even the most rigorous clinical skincare routines take time to show results. That&rsquo;s why we created a new treat and protect product that offers both immediate and long-term skin-enhancing benefits that work with any Rodan + Fields Multi-Med&trade; Therapy regimen. Infused with patent-pending RFp3 technology, ENHANCEMENTS Mineral Peptides SPF 20 supports skin&rsquo;s resiliency to environmental aggressors and irritants and provides sun protection, while light deflecting minerals immediately even skin tone and reduce redness. Available in Light, Medium and Bronze shades. For a limited time only, ENHANCEMENTS Mineral Peptides available with ENHANCEMENTS Mineral Peptides Brush at a discounted price. 4 g/.14 fl. oz.</p> <p>  <img alt=""The Skin Cancer Foundation Seal of Recommendation for Sunscreens: Daily Use"" src=""https://www.rodanandfields.com/images/Products/SCF_Seal-Daily-small.jpg"" style=""width: 37px; height: 55px;"" /></p>","jewerly","ANT101","US",,,1,,1,,,,"images/no_image_available.png","images/no_image_available.png",,
"ESMD005","Active","MAXIMUM D3® Vitamin D Supplement","PF050721",9,9,"Oral supplement of the most absorbable form of Vitamin D, our recommended supplement to any Rodan + Fields Multi-Med Therapy regimen.","You have heard us preach that limiting sun exposure and wearing a broad-spectrum sunscreen is the key to maintaining healthy, radiant, youthful-looking skin. However, Vitamin D, which is essential for bone health and overall wellness, is created when the body absorbs the sun’s UV rays. Since we are committed to helping everyone achieve healthy skin and a healthy life, we offer Maximum D3, an oral supplement of the most absorbable form of Vitamin D. As the sun’s damaging rays can exacerbate the symptoms associated with a variety of skin conditions including acne, sensitivity, hyper-pigmentation, and skin aging, Maximum D3 is our recommended supplement to any Rodan + Fields Multi-Med Therapy regimen. Package includes 5 once-weekly doses.","jewerly","MRK101,MRK102","US",,,0,,1,,,,"images/no_image_available.png","images/no_image_available.png",,
"ENMPK04","Active","ENHANCEMENTS Mineral Peptides Broad Spectrum SPF 20 with Brush","P0000000",40,40,"Support’s skin’s resiliency to environmental aggressors and irritants and provides sun protection, while light deflecting minerals immediately even skin tone and reduce redness.","<p>  The perfect pair. When it comes to achieving healthy, clear, foundation-free skin, even the most rigorous clinical skincare routines take time to show results. That&rsquo;s why we created a new treat and protect product that offers both immediate and long-term skin-enhancing benefits that work with any Rodan + Fields Multi-Med&trade; Therapy regimen. Infused with patent-pending RFp3 technology, ENHANCEMENTS Mineral Peptides SPF 20 supports skin&rsquo;s resiliency to environmental aggressors and irritants and provides sun protection, while light deflecting minerals immediately even skin tone and reduce redness. Available in Light, Medium and Bronze shades. For a limited time only, ENHANCEMENTS Mineral Peptides available with ENHANCEMENTS Mineral Peptides Brush at a discounted price. 4 g/.14 fl. oz.</p> <p>  <img alt=""The Skin Cancer Foundation Seal of Recommendation for Sunscreens: Daily Use"" src=""https://www.rodanandfields.com/images/Products/SCF_Seal-Daily-small.jpg"" style=""width: 37px; height: 55px;"" /></p>","jewerly","MRK102","US",,,1,,1,,,,"images/no_image_available.png","images/no_image_available.png",,
"ENBPK04","Active","ENHANCEMENTS Mineral Peptides Broad Spectrum SPF 20 with Brush","P0000000",40,40,"Support’s skin’s resiliency to environmental aggressors and irritants and provides sun protection, while light deflecting minerals immediately even skin tone and reduce redness.","<p>  The perfect pair. When it comes to achieving healthy, clear, foundation-free skin, even the most rigorous clinical skincare routines take time to show results. That&rsquo;s why we created a new treat and protect product that offers both immediate and long-term skin-enhancing benefits that work with any Rodan + Fields Multi-Med&trade; Therapy regimen. Infused with patent-pending RFp3 technology, ENHANCEMENTS Mineral Peptides SPF 20 supports skin&rsquo;s resiliency to environmental aggressors and irritants and provides sun protection, while light deflecting minerals immediately even skin tone and reduce redness. Available in Light, Medium and Bronze shades. For a limited time only, ENHANCEMENTS Mineral Peptides available with ENHANCEMENTS Mineral Peptides Brush at a discounted price. 4 g/.14 fl. oz.</p> <p>  <img alt=""The Skin Cancer Foundation Seal of Recommendation for Sunscreens: Daily Use"" src=""https://www.rodanandfields.com/images/Products/SCF_Seal-Daily-small.jpg"" style=""width: 37px; height: 55px;"" /></p>","jewerly,strange","ANT102","US",,,1,,1,,,,"images/no_image_available.png","images/no_image_available.png",,
"ESMD010","Active","MAXIMUM D3® Vitamin D Supplement","PF050721",18,18,"Essential for bone health and overall wellness, our recommended supplement to any Rodan + Fields Multi-Med Therapy regimen.","<p>  You have heard us preach that limiting sun exposure and wearing a broad-spectrum sunscreen is the key to maintaining healthy, radiant, youthful-looking skin. However, Vitamin D, which is essential for bone health and overall wellness, is created when the body absorbs the sun&rsquo;s UV rays. Since we are committed to helping everyone achieve healthy skin and a healthy life, we offer Maximum D3, an oral supplement of the most absorbable form of Vitamin D. As the sun&rsquo;s damaging rays can exacerbate the symptoms associated with a variety of skin conditions including acne, sensitivity, hyper-pigmentation, and skin aging, Maximum D3 is our recommended supplement to any Rodan + Fields Multi-Med Therapy regimen. Package includes 10 once-weekly doses.</p>","jewerly","MRK101","US",,,1,,1,,"gold",,"images/no_image_available.png","images/no_image_available.png",,
"UNSS030","Active","UNBLEMISH Oil Control Lotion Broad Spectrum SPF 20","P0000000",21,21,"Controls oiliness as it protects against UV rays that intensify post-acne marks and uneven skin tone.","<p>  Formulated specifically for acne-prone skin, this lightweight formula controls oiliness as it protects against UV rays that intensify post-acne marks and uneven skin tone. 30 mL/1 Fl.Oz.</p> <p>  <img alt=""The Skin Cancer Foundation Seal of Recommendation for Sunscreens: Daily Use"" src=""https://www.rodanandfields.com/images/Products/SCF_Seal-Daily-small.jpg"" style=""width: 37px; height: 55px;"" /></p>","jewerly",,"US",,,1,,1,,"silver",,"images/no_image_available.png","images/no_image_available.png",,
"UNTJ125","Active","UNBLEMISH Clarifying Toner","P0000000",30,30,"Cleans pores and prepares skin for treatment.","Alcohol-free toner gently unplugs pores with mild alpha-hydroxy acids. Anti-oxidants calm the complexion and prepare skin for treatment. 125 mL/4.2 Fl.Oz.","jewerly","ANT101","US",,,1,,1,,"metal",,"images/no_image_available.png","images/no_image_available.png",,
"UNRJ001","Active","UNBLEMISH Regimen for Acne and Post-Acne Marks","P0000000",120,120,"Combines acne-fighting and skin-lightening medicines to clear skin, control oil production, kill bacteria, prevent post-acne dark marks, and protect against UV damage.","<p>  Breakouts? Unpredictable? Unreasonable? Unfair? Take control with our UNBLEMISH Regimen. Clinically proven to combat the entire acne cycle, this sophisticated regimen helps unclog pores, clears breakouts and calms your complexion to keep pimples, blackheads and post-acne marks from making an unwelcome appearance on your face&mdash;and in your life.<br />  <br />  Since many acne sufferers have post-inflammatory hyperpigmentation (PIH), the remnant red/brown marks following a healed blemish, we offer UNBLEMISH Spot Fading Toner. However, if you are one of the lucky few who does not experience PIH, use our UNBLEMISH Clarifying Toner as an alternative.<br />  <br />  The UNBLEMISH Regimen features 4 full-size products: Acne Treatment Sulfur Wash 125 mL/4.2 Fl.Oz.; Spot Fading Toner 125 mL/4.2 Fl.Oz. OR Clarifying Toner 125 mL/4.2 Fl.Oz.; Dual Intensive Acne Treatment 2 x 15 mL/.5 Fl.Oz.; and Oil Control Lotion SPF 20 30 mL/1 Fl.Oz.</p>","jewerly","MRK101","US",,,1,,1,,,,"images/no_image_available.png","images/no_image_available.png",,
"PULSE01","Active","Pulse Monthly Subscription","SW050400",24.95,24.95,"Pulse Monthly Subscription","Pulse Monthly Subscription","jewerly","HND101","US",,,1,,,,,,"images/no_image_available.png","images/no_image_available.png",,
"PCPerks","Active","PCPERKS ONE-TIME ENROLLMENT FEE","OD020000",19.95,19.95,"PCPERKS ONE-TIME ENROLLMENT FEE","PCPERKS ONE-TIME ENROLLMENT FEE","jewerly","ANT102","US",,,1,,,,,,"images/no_image_available.png","images/no_image_available.png",,
"BBLK001","Active","REVERSE Regimen Big Business Launch Kit","P0000000",695,695,"Over $1,300 in value, includes everything you need to successfully launch your Rodan + Fields business.","Over $1,300 in value, includes everything you need to successfully launch your Rodan + Fields business.","jewerly,strange","MRK101","US",,,0,,1,,,,"images/no_image_available.png","images/no_image_available.png",,
"BBLK002","Active","REDEFINE Regimen Big Business Launch Kit","P0000000",695,695,"Over $1,300 in value, includes everything you need to successfully launch your Rodan + Fields business.","Over $1,300 in value, includes everything you need to successfully launch your Rodan + Fields business.","jewerly","HND102","US",,,1,,1,,,,"images/no_image_available.png","images/no_image_available.png",,
"BBLK003","Active","UNBLEMISH Regimen Big Business Launch Kit","P0000000",695,695,"Over $1,300 in value, includes everything you need to successfully launch your Rodan + Fields business.","Over $1,300 in value, includes everything you need to successfully launch your Rodan + Fields business.","jewerly","ANT101","US",,1,1,,1,,,,"images/no_image_available.png","images/no_image_available.png",,
"BBLK004","Active","SOOTHE Regimen Big Business Launch Kit","P0000000",695,695,"Over $1,300 in value, includes everything you need to successfully launch your Rodan + Fields business.","Over $1,300 in value, includes everything you need to successfully launch your Rodan + Fields business.","jewerly","MRK101","US",,,1,,1,,,,"images/no_image_available.png","images/no_image_available.png",,
